event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
84	1748853554.0516133	0.017823639774859235	3267	232.02203	506	7787.156	165.55426	506	4990.2485	389.0871	508	12547.982	376.7686	505	11307.519	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	317.12906	1323	9741.432
832	1748853561.0775943	0.020581113801452777	7982	208.03088	506	6474.9004	217.31976	504	7137.534	262.31854	507	8233.529	329.0631	505	10408.161	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	456.27768	2501	14960.768
1688	1748853569.1004925	0.016098484848484862	5866	264.02557	507	8162.97	201.38718	504	6519.3755	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	266.28632	1972	8634.102	0.0	0	0.0
1781	1748853570.1035688	0.01663585951940849	1942	184.02435	506	6059.084	141.67078	505	4863.7705	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	50.089203	991	1428.6882	0.0	0	0.0	0.0	0	0.0
2478	1748853576.1276894	0.020987654320987703	13228	348.02533	508	11291.168	161.5711	506	4854.803	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	54.072357	3814	1483.7144	0.0	0	0.0	0.0	0	0.0
3313	1748853584.0272279	0.016838166510757757	7286	272.02264	507	8566.993	157.58798	505	5210.0723	194.97415	507	6173.7354	130.27496	507	4057.8542	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	66.667694	2328	1663.8931
3361	1748853584.540348	0.016838166510757757	1991	244.0176	507	7914.999	165.55426	504	5002.394	488.12747	507	15680.965	992.9564	507	31185.03	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	563.6073	1004	16558.58
3673	1748853587.3703659	0.018438177874186557	2418	336.0144	509	10291.046	281.01932	508	8783.482	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	169.53741	1113	5091.4097	0.0	0	0.0	0.0	0	0.0
3849	1748853588.9138196	0.01846452866861026	2384	300.02768	508	9827.144	217.31976	506	7020.514	333.63068	508	10607.883	897.54553	506	28920.23	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	130.27496	1103	3997.0002
4269	1748853592.7664852	0.017801047120418856	398	332.01587	508	10731.127	296.9519	507	9222.086	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	626.7532	607	20189.248	0.0	0	0.0
